City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Mandalgovi,MN,45.7625,106.2708,50.77,75,1,4.65,clear sky
69,Todos Santos,MX,23.45,-110.2167,84.0,78,93,4.05,overcast clouds
70,Pevek,RU,69.7008,170.3133,26.98,81,95,2.26,overcast clouds
71,Borogontsy,RU,62.6683,131.1683,35.46,81,10,3.62,clear sky
72,Castro,BR,-24.7911,-50.0119,74.82,48,58,2.01,broken clouds
73,Nioro,GM,13.35,-15.75,78.55,88,35,6.64,scattered clouds
74,Kenai,US,60.5544,-151.2583,53.69,66,90,16.11,overcast clouds
75,Port Elizabeth,ZA,-33.918,25.5701,53.89,82,40,16.11,light rain
76,Tuatapere,NZ,-46.1333,167.6833,48.7,85,100,4.23,light rain
77,Airai,TL,-8.9266,125.4092,66.06,43,91,4.76,overcast clouds
78,Simpang,ID,-1.2667,104.0833,73.89,96,70,2.91,broken clouds
79,Mar Del Plata,AR,-38.0023,-57.5575,50.02,81,0,8.05,clear sky
80,Muriwai Beach,NZ,-36.8167,174.45,57.76,65,8,9.93,clear sky
81,Dalvik,IS,65.9702,-18.5286,42.73,96,100,4.12,overcast clouds
82,Hilo,US,19.7297,-155.09,82.13,65,75,8.05,light rain
83,Souillac,MU,-20.5167,57.5167,68.38,68,20,13.8,few clouds
84,Rio Grande,BR,-32.035,-52.0986,65.23,99,99,11.97,overcast clouds
85,Ampanihy,MG,-24.7,44.75,63.64,66,0,6.73,clear sky
86,Mutoko,ZW,-17.397,32.2268,54.25,37,0,1.3,clear sky
87,Naze,JP,28.3667,129.4833,77.92,75,0,0.87,clear sky
88,Westport,US,41.1415,-73.3579,71.35,56,1,6.91,clear sky
89,Hamilton,US,39.1834,-84.5333,72.79,88,90,5.75,light rain
90,Nansio,TZ,-2.1333,33.05,75.06,70,5,10.83,clear sky
91,Whitefish,US,48.4111,-114.3376,56.95,62,75,14.97,broken clouds
