City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Jamestown,US,2021-09-20 01:52:01,42.097,-79.2353,64.04,79,1,1.01
68,Mareeba,AU,2021-09-20 01:52:02,-17.0,145.4333,79.45,57,68,7.07
69,Bonthe,SL,2021-09-20 01:52:03,7.5264,-12.505,76.19,88,100,4.45
70,Bredasdorp,ZA,2021-09-20 01:52:04,-34.5322,20.0403,49.32,87,0,4.61
71,Bathsheba,BB,2021-09-20 01:52:05,13.2167,-59.5167,77.61,83,20,1.14
72,Camabatela,AO,2021-09-20 01:52:06,-8.1881,15.375,65.16,71,62,1.77
73,Peabiru,BR,2021-09-20 01:52:07,-23.9128,-52.3431,86.22,52,98,8.25
74,Hirado,JP,2021-09-20 01:52:09,33.3597,129.5531,81.75,73,81,4.85
75,Port Alfred,ZA,2021-09-20 01:52:10,-33.5906,26.891,57.85,88,43,11.45
76,Innisfail,AU,2021-09-20 01:52:11,-17.5333,146.0333,77.41,57,47,11.27
77,Toamasina,MG,2021-09-20 01:52:12,-18.1667,49.3833,66.2,94,75,5.75
78,Meulaboh,ID,2021-09-20 01:52:14,4.1363,96.1285,77.52,83,100,4.41
79,Auki,SB,2021-09-20 01:52:16,-8.7676,160.7034,85.71,63,77,5.46
80,Qaqortoq,GL,2021-09-20 01:52:17,60.7167,-46.0333,36.75,87,44,3.4
81,Novikovo,RU,2021-09-20 01:52:18,51.1537,37.8879,52.39,98,44,6.38
82,Ribeira Grande,PT,2021-09-20 01:52:19,38.5167,-28.7,70.21,66,33,13.15
83,Grand-Santi,GF,2021-09-20 01:52:21,4.25,-54.3833,75.97,84,100,2.84
84,Salaga,GH,2021-09-20 01:52:17,8.5508,-0.5188,74.48,92,80,2.28
85,Bratsk,RU,2021-09-20 01:52:23,56.1325,101.6142,54.09,75,41,4.18
86,Boa Vista,BR,2021-09-20 01:52:24,2.8197,-60.6733,78.78,83,75,3.44
87,Caravelas,BR,2021-09-20 01:52:26,-17.7125,-39.2481,71.1,86,63,5.32
88,Upernavik,GL,2021-09-20 01:52:27,72.7868,-56.1549,24.91,64,97,8.86
89,Vaini,TO,2021-09-20 01:52:28,-21.2,-175.2,77.16,78,40,11.5
90,Bethel,US,2021-09-20 01:52:29,41.3712,-73.414,62.96,86,1,5.75
91,Haines Junction,CA,2021-09-20 01:52:30,60.7522,-137.5108,55.35,41,94,2.3
92,Carnarvon,AU,2021-09-20 01:52:32,-24.8667,113.6333,78.87,14,0,21.85
93,Awjilah,LY,2021-09-20 01:52:33,29.1081,21.2869,81.28,32,0,10.27
94,Mahajanga,MG,2021-09-20 01:52:34,-15.7167,46.3167,73.42,64,40,10.36
95,Port Lincoln,AU,2021-09-20 01:52:35,-34.7333,135.8667,53.42,60,100,23.67
96,Richards Bay,ZA,2021-09-20 01:52:36,-28.783,32.0377,64.98,75,95,14.63
97,Cherskiy,RU,2021-09-20 01:52:37,68.75,161.3,35.44,47,100,10.09
98,Hovd,MN,2021-09-20 01:52:38,48.0056,91.6419,63.28,33,33,7.05
99,Tuatapere,NZ,2021-09-20 01:52:39,-46.1333,167.6833,50.25,77,100,8.95
100,Enterprise,US,2021-09-20 01:52:40,36.0252,-115.2419,90.14,17,1,13.0
101,Brits,ZA,2021-09-20 01:52:41,-25.6347,27.7802,63.52,45,0,3.83
102,Beyneu,KZ,2021-09-20 01:52:42,45.3167,55.2,57.18,39,50,10.83
103,Lavrentiya,RU,2021-09-20 01:52:43,65.5833,-171.0,33.71,60,67,14.05
104,Mahebourg,MU,2021-09-20 01:52:45,-20.4081,57.7,68.29,60,20,6.91
105,Washington,US,2021-09-20 01:51:18,47.5001,-120.5015,61.29,53,9,5.01
106,Rawson,AR,2021-09-20 01:52:46,-43.3002,-65.1023,51.84,53,5,3.18
107,Longyearbyen,SJ,2021-09-20 01:52:47,78.2186,15.6401,39.07,94,100,6.67
108,Saldanha,ZA,2021-09-20 01:52:48,-33.0117,17.9442,57.25,85,97,14.7
109,Mashhad,IR,2021-09-20 01:52:50,36.297,59.6062,62.74,51,0,4.61
110,Oriximina,BR,2021-09-20 01:52:51,-1.7656,-55.8661,77.99,80,89,2.04
111,Lithgow,AU,2021-09-20 01:52:52,-33.4833,150.15,66.87,30,0,18.9
112,Hithadhoo,MV,2021-09-20 01:52:53,-0.6,73.0833,82.83,73,56,6.44
113,Issia,CI,2021-09-20 01:52:54,6.4922,-6.5856,70.66,100,73,2.3
114,Weymouth,US,2021-09-20 01:52:55,42.2209,-70.9398,62.76,89,1,0.0
115,Stonewall,CA,2021-09-20 01:52:56,50.1344,-97.3268,74.88,41,98,8.93
