City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Cockburn Town,TC,83.14,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
443,Hit,IQ,82.49,clear sky,33.6416,42.8251,صالون زيرو
460,Kudahuvadhoo,MV,82.29,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
464,Vung Tau,VN,78.89,overcast clouds,10.346,107.0843,Green hotel
465,Shingu,JP,76.19,overcast clouds,33.7333,135.9833,Shingu UI Hotel
468,Cravo Norte,CO,77.99,moderate rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
469,Namatanai,PG,82.83,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
472,Netrakona,BD,75.9,broken clouds,24.8833,90.7167,kurpar gas office
481,Mehriz,IR,75.7,few clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
485,Matara,LK,77.58,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
486,Kavieng,PG,82.83,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
488,Tual,ID,80.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
489,Benjamin Constant,BR,84.33,broken clouds,-4.3831,-70.0311,CASA AVALIADA
490,Chaozhou,CN,82.26,clear sky,23.6651,116.6379,Seven Corner View Homestay
494,Jati,PK,82.13,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
497,Cabinda,AO,75.04,scattered clouds,-5.55,12.2,Hotel Maiombe
498,Parrita,CR,84.81,overcast clouds,9.5201,-84.3225,Beso del Viento
499,Malino,PH,80.38,overcast clouds,15.1257,120.6727,Mula 1522 Private Resort
503,Veraval,IN,80.19,broken clouds,20.9,70.3667,Lords Inn Somnath
508,Griffith,US,82.33,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
511,Dicabisagan,PH,80.69,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
519,Buraydah,SA,81.05,clear sky,26.326,43.975,فندق راحة السلام
522,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
523,Santa Luzia,BR,77.9,clear sky,-19.7697,-43.8514,Pousada Chao Earth
525,Kerema,PG,79.7,light rain,-7.9631,145.7785,Frena Lodge
527,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
534,Gwadar,PK,80.22,clear sky,25.1216,62.3254,Sadaf Resort
539,Jabinyanah,TN,80.4,overcast clouds,35.035,10.9081,maison belmabrouk
545,Harper,LR,77.07,light rain,4.375,-7.7169,Screensaver
546,Segou,ML,83.39,scattered clouds,13.4317,-6.2157,Comme chez soi
548,Mahibadhoo,MV,82.49,few clouds,3.7833,72.9667,Omadhoo Inn
549,Mahendragarh,IN,80.96,broken clouds,28.2833,76.15,Yadav Dharamshala
553,Samarai,PG,77.59,overcast clouds,-10.6167,150.6667,Nuli Sapi
558,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
561,Adilabad,IN,75.13,overcast clouds,19.6667,78.5333,Dwaraka Hotel.
